cantPersonas,cantComp,promM,promMMonio
1,16,6.55455e+08,538443
2,16,1.05609e+09,2.04075e+06
3,16,1.18141e+09,3.99215e+06
4,16,1.73184e+09,7.80885e+06
5,16,1.11967e+09,1.03621e+07
6,16,1.12199e+09,1.25706e+07
7,16,1.20996e+09,2.1642e+07
8,16,1.06646e+09,2.01461e+07
9,16,1.01093e+09,2.86517e+07
10,16,1.05859e+09,3.04795e+07
11,16,1.065e+09,3.78021e+07
12,16,1.22158e+09,5.13968e+07
13,16,1.06224e+09,5.62677e+07
14,16,1.1804e+09,6.64061e+07
15,16,1.55086e+09,9.80045e+07
16,16,1.88785e+09,1.15812e+08
17,16,1.35635e+09,1.08501e+08
18,16,1.66993e+09,1.39057e+08
19,16,1.4145e+09,1.43821e+08
20,16,1.16848e+09,1.2354e+08
21,16,1.31715e+09,1.46178e+08
22,16,1.60882e+09,1.92692e+08
23,16,1.67912e+09,2.56121e+08
24,16,1.23475e+09,1.7566e+08
25,16,1.26829e+09,1.87334e+08
26,16,1.39629e+09,2.10682e+08
27,16,1.28057e+09,2.35615e+08
28,16,2.23347e+09,4.65367e+08
29,16,1.35516e+09,3.18998e+08
30,16,1.41903e+09,2.92681e+08
31,16,1.38051e+09,3.14867e+08
32,16,1.69059e+09,3.74272e+08
33,16,1.97269e+09,4.33635e+08
34,16,1.92995e+09,5.0236e+08
35,16,1.81008e+09,5.12744e+08
36,16,2.45252e+09,6.23137e+08
37,16,1.73407e+09,4.97393e+08
38,16,1.51726e+09,5.13117e+08
39,16,1.55987e+09,5.13954e+08
40,16,1.59239e+09,4.938e+08
41,16,1.52049e+09,5.42995e+08
